cluster_id,signal,occurrences,distinct_texts,files,boilerplate_class,internally_divergent,divergence_triggers,min_pairwise_similarity,formed_by_chaining,proposed_representative_id,proposed_representative_file,proposed_representative_line,authority_reason,dates,ratified_by,member_ids,representative_text_excerpt_grouped_clusters_only_full_text_in_decision_candidates_json
DC-00076,1-text,2,2,2,,yes,numbers differ between members,0.8864,,DH-02743,cowork_phase5_branch_backfill_spec.md,83,design or decision document (docs/ or cowork_*),,,DH-02743;DH-06562,- **`keymodesequence.cpp` (16):** empty-context slice → neutral row skipped; `stateIndexForResult` not-found → skip;   single-state lattice → confidence-vs-0; empty emissions/states → {}; **`maxAlternatives<=0` → all alternatives   emitted**; pinned/redecode margin exclusions; single-viable-state → 
DC-00077,1-text,2,1,2,,,,1.0,,DH-02792,cowork_phrase_boundary_design.md,222,design or decision document (docs/ or cowork_*),,,DH-02792;DH-02910,## 6. Architecture decisions (with the alternatives weighed)
DC-00078,1-text,2,2,2,,yes,numbers differ between members,0.8,,DH-03597,docs/beam_widening_design.md,403,design or decision document (docs/ or cowork_*),,,DH-03597;DH-12806,## 6. Acceptance roster with measured expected deltas + DCML adjudication
DC-00079,1-text,2,1,2,,,,1.0,,DH-03625,docs/beam_widening_design.md,558,design or decision document (docs/ or cowork_*),,,DH-03625;DH-03684,*End of draft. Awaiting ratification addendum before commit (roadmap rule 4).*
DC-00080,1-text,2,1,2,,,,1.0,,DH-03939,docs/nct_detection_design.md,214,design or decision document (docs/ or cowork_*),,,DH-03939;DH-09281,## Decision
DC-00081,1-text,2,1,1,,,,1.0,,DH-04259,docs/symbol_input_audit.md,115,design or decision document (docs/ or cowork_*),,,DH-04259;DH-04262,**Options (do not choose for user):**
DC-00082,1-text,2,2,2,,,,0.9231,,DH-04762,open_items/OI-228.md,75,the open-items register,,user,DH-04762;DH-06851,"A note that is already sounding is part of the sonority, and whether it belongs to the chord is what the emission's chord-member / non-chord-tone categories are for. The ""held notes are weaker evidence"" argument does not survive: the fit corpus is voices and organ — sustaining throughout — so the de"
DC-00083,1-text,2,1,2,,,,1.0,,DH-05050,cc_adoption_measurement_report.md,152,Claude Code session report or dispatch (a restatement by construction),,,DH-05050;DH-06227,## 8. Verdict
DC-00084,1-text,2,1,2,,,,1.0,,DH-05198,cc_audit_jointkeydecision_report.md,204,Claude Code session report or dispatch (a restatement by construction),,,DH-05198;DH-05208,| Cowork `[prov]` claim | My fresh measurement | Verdict |
DC-00085,1-text,2,1,2,,,,1.0,,DH-05272,cc_backfill_engravingbridge_report.md,80,Claude Code session report or dispatch (a restatement by construction),,,DH-05272;DH-05307,"## §4 — Re-classification of triage ""ADD-TEST"" branches → EXCLUDE-DEFENSIVE / DEFER (NOT tested)"
DC-00086,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-05469,cc_cadence_precision_investigation_dossier.md,193,Claude Code session report or dispatch (a restatement by construction),,,DH-05469;DH-13399,## §8 — Stop-condition disclosures
DC-00087,1-text,2,1,1,,,,1.0,,DH-05525,cc_corpus_wave2_report.md,46,Claude Code session report or dispatch (a restatement by construction),,,DH-05525;DH-05528,| claim (§6b / paper) | measured at pin | verdict |
DC-00088,1-text,2,1,2,,,,1.0,,DH-05538,cc_corpus_wave2_report.md,228,Claude Code session report or dispatch (a restatement by construction),,,DH-05538;DH-05567,- **Retires:** nothing.
DC-00089,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-05656,cc_doctruth_gate_sync_report.md,146,Claude Code session report or dispatch (a restatement by construction),,,DH-05656;DH-11190,## §7 — Stop conditions: none tripped
DC-00090,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-05809,cc_engage_fb_redesign_design_report.md,86,Claude Code session report or dispatch (a restatement by construction),,,DH-05809;DH-05865,## STOP conditions — none tripped
DC-00091,1-text,2,2,2,,yes,numbers differ between members,0.8077,,DH-05886,cc_engage_pre_l5_refactor_report.md,165,Claude Code session report or dispatch (a restatement by construction),,,DH-05886;DH-07236,"**The dispatch's first step:** ""confirm it is **not simpler to fold into the E4 temporal-context ownership move**. If relocating cleanly now requires decoder internals or would be redone at E4 ⟹ STOP-and-report (defer to E4) — do not force a pre-L5 relocation that E4 redoes."""
DC-00092,1-text,2,1,1,,,,1.0,,DH-06316,cc_instruction_absent_root_guard.md,206,Claude Code session report or dispatch (a restatement by construction),,,DH-06316;DH-06319,- Baroque BIR=false ≤ 25 (hard stop)
DC-00093,1-text,2,1,1,,,,1.0,,DH-06317,cc_instruction_absent_root_guard.md,207,Claude Code session report or dispatch (a restatement by construction),,,DH-06317;DH-06320,- Jazz BIR=false ≤ 13 (hard stop)
DC-00094,1-text,2,2,2,,,,0.95,,DH-06327,cc_instruction_acquisition_round.md,10,Claude Code session report or dispatch (a restatement by construction),,,DH-06327;DH-10097,1. `CLAUDE.md` (bash rules; the gate = the 53/24/53 case-identity sets) + `STATUS.md` header + 22k (end).
DC-00095,1-text,2,1,2,,,,1.0,,DH-06477,cc_instruction_audit_harmonicfunctionlayer.md,41,Claude Code session report or dispatch (a restatement by construction),,,DH-06477;DH-06492,- Cross-layer issue → phase-2 note. Uncertain → check vs oracle; bucket convention-boundary + surface; never   guess.
DC-00096,1-text,2,2,2,,,,0.8333,,DH-06504,cc_instruction_b2_final.md,207,Claude Code session report or dispatch (a restatement by construction),,,DH-06504;DH-06505,"Hard stops: Baroque BIR=false > 25, Jazz BIR=false > 13. If either is hit: revert all three files, report details, stop."
DC-00097,1-text,2,1,2,,,,1.0,,DH-06556,cc_instruction_backfill_formatter.md,38,Claude Code session report or dispatch (a restatement by construction),,,DH-06556;DH-06564,- A failing correct-oracle → `DISABLED_`/xfail + expected-vs-actual (rule 2). Do not weaken.
DC-00098,1-text,2,1,2,,,,1.0,,DH-06747,cc_instruction_commit_exploration_mode.md,62,Claude Code session report or dispatch (a restatement by construction),,,DH-06747;DH-12472,"harmonicsegmenter.cpp's two boundary-exploration sites now set scoringPhase = ScoringPhase::Segmentation. gater_tests.cpp Branch 4 (""no fire in exploration mode"") is replaced by an end-to-end phase-gating test via applyHarmonicFunction. docs/scoring_model.md updated in the same commit (sync rule)."
DC-00099,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-06909,cc_instruction_design_pass_commit.md,56,Claude Code session report or dispatch (a restatement by construction),,,DH-06909;DH-06923,## 4. Self-check before reporting (standing rule)
DC-00100,1-text,2,1,2,,,,1.0,,DH-07044,cc_instruction_e2b.md,130,Claude Code session report or dispatch (a restatement by construction),,,DH-07044;DH-07049,    /// Scorer's actual decisions (useful for E2c cross-check and debugging).     int  chosenBassPc        { -1 };  ///< bassCandidates[winnerIdx].pc after quality guard     bool acceptedWithWDim    { false }; ///< true iff the with-wDim variant was accepted     int  winnerBassPcWith    { -1 };  ///
DC-00101,1-text,2,2,2,dispatch_instruction,,,0.9444,,DH-07079,cc_instruction_e2d_architecture_review.md,5,Claude Code session report or dispatch (a restatement by construction),,,DH-07079;DH-07111,Read `C:\s\MS\STATUS.md` and `C:\s\MS\build_and_test.md` before starting. Current HEAD: `0ab219d4c5` (Phase 1 / E2d-prereq). All tests pass. This instruction is **read-only**. Do not modify any source file. No commits.
DC-00102,1-text,2,2,2,dispatch_instruction,,,0.9167,,DH-07142,cc_instruction_engage_c3_measurement.md,110,Claude Code session report or dispatch (a restatement by construction),,cowork,DH-07142;DH-07200,4. **Push fork-only** (`git push origin master`) — the `cfc7eb5e39` upstream HARD STOP applies.
DC-00103,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-07181,cc_instruction_engage_gateA_unification_build.md,71,Claude Code session report or dispatch (a restatement by construction),2026-07-06,,DH-07181;DH-07267,4. **Push fork-only** (`git push origin master`) — never toward `upstream`/`musescore/MuseScore` (the    `cfc7eb5e39` distribution HARD STOP).
DC-00104,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-07334,cc_instruction_foundation_stage3a.md,51,Claude Code session report or dispatch (a restatement by construction),,,DH-07334;DH-07712,- `upstream` never; `origin` held.
DC-00105,1-text,2,1,2,,,,1.0,,DH-07390,cc_instruction_gate_rebaseline_verify.md,3,Claude Code session report or dispatch (a restatement by construction),,,DH-07390;DH-08467,## Context + decision
DC-00106,1-text,2,2,2,dispatch_instruction,,,0.9091,,DH-07487,cc_instruction_j_key_i.md,96,Claude Code session report or dispatch (a restatement by construction),,,DH-07487;DH-07509,"- Any production resolve-path / `src/notation` / `src/engraving` edit needed → STOP, surface."
DC-00107,1-text,2,1,2,,,,1.0,,DH-07506,cc_instruction_j_key_ii.md,86,Claude Code session report or dispatch (a restatement by construction),,,DH-07506;DH-07526,"## §6 — Deliver: HELD + dossier, and the J-key-iii gate"
DC-00108,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-07570,cc_instruction_j_key_iii_step2_wiring.md,119,Claude Code session report or dispatch (a restatement by construction),,user,DH-07570;DH-08330,## §9 — Stop conditions
DC-00109,1-text,2,2,2,dispatch_instruction,,,0.8654,,DH-07701,cc_instruction_key_grading_rebaseline.md,120,Claude Code session report or dispatch (a restatement by construction),2026-07-12,,DH-07701;DH-08405,"3. Run the self-check over every diff. **Push — user-authorized 2026-07-12:** all    local commits to `origin` only, after `git remote -v` confirms `upstream` push    is still disabled; anything that would touch `upstream` is the standing hard    stop. Confirm in the report: the pushed hash, `upstre"
DC-00110,1-text,2,1,2,,,,1.0,,DH-07842,cc_instruction_l4_audit_pass1.md,115,Claude Code session report or dispatch (a restatement by construction),,,DH-07842;DH-07853,- causal premises: FACT (citation) / THEORY (citation answering the specific question) /   ASSUMPTION (flag);
DC-00111,1-text,2,2,2,,,,0.8229,,DH-07859,cc_instruction_l4_audit_pass1_decoder.md,125,Claude Code session report or dispatch (a restatement by construction),2026-07-11,,DH-07859;DH-07871,"3. `cc_l4_audit_pass1_decoder_report.md`: disposition summary per verdict class; EVERY    flagged row with file, line, and one plain-language sentence for a reader who does    not know the code; the fire-rate table with the route per row; the contract-check    results including absences; when each w"
DC-00112,1-text,2,2,2,dispatch_instruction,yes,numbers differ between members,0.8684,,DH-07872,cc_instruction_l4_audit_pass1_oracle.md,146,Claude Code session report or dispatch (a restatement by construction),2026-07-11,,DH-07872;DH-07883,"5. **Commit and PUSH (user-authorized 2026-07-11):** the Task-3 `feat(tools):` freeze,    any Task-2 counter `feat(tools):` (byte-identity proven as above), one `docs(cc):`    fold (force-add this instruction). Push all local commits to `origin` only, after    `git remote -v` confirms `upstream` pus"
DC-00113,1-text,2,1,2,,,,1.0,,DH-07879,cc_instruction_l4_audit_pass1_satellites.md,96,Claude Code session report or dispatch (a restatement by construction),,,DH-07879;DH-07942,"- derived facts: PUBLISHED / SILOED / TRAPPED / DUPLICATED, under the fact-publication   corollary;"
DC-00114,1-text,2,2,2,,,,0.8571,,DH-07889,cc_instruction_l4_audit_pass2.md,104,Claude Code session report or dispatch (a restatement by construction),,,DH-07889;DH-07956,"3. The disagreement fraction on the 40 blind-judged error-rate rows IS the audit's    measured error rate. Report the number and list the failing rows. A failure that    implies a whole class was judged wrongly re-opens that class — say so plainly,    never average it away."
DC-00115,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-07897,cc_instruction_l5_audit_pass1.md,98,Claude Code session report or dispatch (a restatement by construction),,,DH-07897;DH-07952,3. Do not read the withheld files.
DC-00116,1-text,2,2,2,dispatch_instruction,,,0.9672,,DH-07914,cc_instruction_l5_audit_pass1_grading_fitting.md,146,Claude Code session report or dispatch (a restatement by construction),2026-07-12,,DH-07914;DH-07925,"5. **Commit and PUSH (user-authorized 2026-07-12):** the freeze commit, any    post-freeze commit, one `docs(cc):` fold (force-add this instruction). Push all    local commits to `origin` only, after `git remote -v` confirms `upstream` push is    still disabled; anything that would send content towa"
DC-00117,1-text,2,2,2,,,,0.8,,DH-08174,cc_instruction_layer3_incrementB_groundtruth.md,1,Claude Code session report or dispatch (a restatement by construction),,,DH-08174;DH-11276,# CC Instruction — LAYER 3 / Increment B: the held-out ground-truth key/mode harness (READ-ONLY)
DC-00118,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-08223,cc_instruction_layer3_phase3_build.md,71,Claude Code session report or dispatch (a restatement by construction),,,DH-08223;DH-09942,- `upstream` never; `origin` held; local commit only.
DC-00119,1-text,2,2,2,,,,0.8947,,DH-08254,cc_instruction_layer3_tpc_keymeasure.md,36,Claude Code session report or dispatch (a restatement by construction),,,DH-08254;DH-11363,"State plainly: **does the tpc-aware emission beat the pitch-class baseline on held-out key, and by how much, where?**"
DC-00120,1-text,2,1,2,,,,1.0,,DH-08271,cc_instruction_layer3_wiring.md,57,Claude Code session report or dispatch (a restatement by construction),,,DH-08271;DH-08297,## §4 — Unification ledger (standing rule)
DC-00121,1-text,2,1,2,,,,1.0,,DH-08714,cc_instruction_oi168_fix.md,39,Claude Code session report or dispatch (a restatement by construction),,,DH-08714;DH-08737,Commit any waiting Cowork register/handoff edits (verify `git status --porcelain`; STOP if unexpected). Leave `cowork_joint_key_chord_design.md` unstaged.
DC-00122,1-text,2,1,2,,,,1.0,,DH-08730,cc_instruction_oi168_magnitude_measure.md,76,Claude Code session report or dispatch (a restatement by construction),,,DH-08730;DH-08739,## 6. Premise Gate — predictions before measuring (#17b)
DC-00123,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-08841,cc_instruction_phase5b_step3_g6.md,59,Claude Code session report or dispatch (a restatement by construction),,,DH-08841;DH-08850,- Any production movement → STOP. `upstream` → STOP.
DC-00124,1-text,2,1,2,,,,1.0,,DH-08997,cc_instruction_phase_d_merger.md,233,Claude Code session report or dispatch (a restatement by construction),,,DH-08997;DH-09009,Stop if any regression. Do not update goldens for regressions.
DC-00125,1-text,2,1,2,,,,1.0,,DH-08998,cc_instruction_phase_d_merger.md,253,Claude Code session report or dispatch (a restatement by construction),,,DH-08998;DH-09010,- Baroque BIR=false must not increase above 13
DC-00126,1-text,2,1,2,,,,1.0,,DH-08999,cc_instruction_phase_d_merger.md,254,Claude Code session report or dispatch (a restatement by construction),,,DH-08999;DH-09011,- Jazz BIR=false must not increase above 7
DC-00127,1-text,2,1,2,,,,1.0,,DH-09000,cc_instruction_phase_d_merger.md,256,Claude Code session report or dispatch (a restatement by construction),,,DH-09000;DH-09012,"If either increases, stop and report — do not commit."
DC-00128,1-text,2,1,2,,,,1.0,,DH-09020,cc_instruction_phase_e_commit_unification.md,122,Claude Code session report or dispatch (a restatement by construction),,,DH-09020;DH-12463,"```cpp inline void advanceTemporalContext(     ChordTemporalContext&             ctx,     int&                              runningStepwiseCount,     std::array<int, 3>&               recentRootsBuf,     const ChordIdentity&              chosen,     const PostScoringGateContext&     gateCtx) noexcep"
DC-00129,1-text,2,1,2,,,,1.0,,DH-09021,cc_instruction_phase_e_commit_unification.md,133,Claude Code session report or dispatch (a restatement by construction),,,DH-09021;DH-12464,    // Predecessor confidence fields (Step 2 redesign).     const int winRoot = chosen.rootPc;     ctx.previousWinnerRootPcWeight = (winRoot >= 0)         ? gateCtx.pcWeight[static_cast<size_t>(winRoot)] : 0.0;     ctx.previousDistinctPcs  = gateCtx.distinctPcs;     ctx.previousWinnerScore  = gateCt
DC-00130,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-09119,cc_instruction_push_doc_sync.md,8,Claude Code session report or dispatch (a restatement by construction),,,DH-09119;DH-09140,- **NEVER push to `upstream` (`musescore/MuseScore`)** — it is `disabled (push)`; leave it disabled. Any push   toward `musescore/MuseScore` is a HARD STOP. Confirm the target is `origin` before pushing.
DC-00131,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-09127,cc_instruction_push_doc_sync.md,48,Claude Code session report or dispatch (a restatement by construction),,,DH-09127;DH-09148,"- The pre-push hook fails, or the remote diverged → STOP, report, do not force-push."
DC-00132,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-09161,cc_instruction_push_layer3_incrementA.md,6,Claude Code session report or dispatch (a restatement by construction),,,DH-09161;DH-09170,- Push to **`origin` (`slimvince/MuseScore`) ONLY**. **NEVER `upstream`** (disabled; leave it). Confirm before pushing.
DC-00133,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-09168,cc_instruction_push_layer3_incrementA.md,28,Claude Code session report or dispatch (a restatement by construction),,,DH-09168;DH-09177,- Pre-push hook fails / remote diverged → STOP (no force). Any sign the target is `upstream` → STOP.
DC-00134,1-text,2,1,2,,,,1.0,,DH-09184,cc_instruction_redesign_step1_free_wiring.md,102,Claude Code session report or dispatch (a restatement by construction),,,DH-09184;DH-09189,"Do NOT add any code in `harmonicfunctionlayer.cpp` that reads or uses the new fields. They must be wired through and available, but no scoring logic consumes them yet."
DC-00135,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-09215,cc_instruction_refactor1_split_build.md,67,Claude Code session report or dispatch (a restatement by construction),,,DH-09215;DH-09264,- Any push → STOP.
DC-00136,1-text,2,2,2,dispatch_instruction,,,0.8,,DH-09223,cc_instruction_refactor_harmonicsegmenter_split.md,43,Claude Code session report or dispatch (a restatement by construction),,,DH-09223;DH-09240,- Any edit outside the new TU + `harmonicsegmenter.cpp` + `CMakeLists.txt` (+ a declaring header if it   genuinely must change — flag it) → STOP. Any push → STOP.
DC-00137,1-text,2,1,2,dispatch_instruction,,,1.0,,DH-09251,cc_instruction_refactor_regiontonecollector_split.md,48,Claude Code session report or dispatch (a restatement by construction),,,DH-09251;DH-09261,"- Any logic/scoring/inference change, or ""fixing"" anything → STOP (purity violation)."
